Date,Consumer Confidence,CPI Index,Industrial Production Index,12m EPS growth,Unemployment rate,Volatility Index,PMI Index,Housing Starts Index,Federal Funds Index,PPI Index,M1 Index,M2 Index,Personal Income Growth Index,Balance Of Trade Index,Home Price Index,Existing Homes Index,Debt To GDP Ratio Index,SP500 ETF,Corp bonds,USD/EUR,REIT,Gold price (USD),Date,GDP Growth Rate,Curent Account Balance,Date,Debt To GDP Ratio
3/1/2000,102.7685,171,92.083,40%,4,24.11,55.8,1737,5.73,1,1108.6,4679.4,0.7,-29.794,1.09,5.12,-71.54663893,138.44,363.72,1.0459,1050.948112,276.75,3/31/1994,3.9,-24.98,34454,64.107
4/1/2000,102.7501,170.9,92.6659,32%,3.8,26.2,54.9,1604,5.85,0.5,1107.5,4710.2,0.7,-30.557,1.07,5.19,-74.38781017,150.38,358.4,1.0959,1120.167771,275.05,6/30/1994,5.5,-28.58,34546,64.012
5/1/2000,102.7249,171.2,92.9347,32%,4,23.65,54.7,1626,6.02,-0.3,1115.6,4766.1,0.5,-28.598,1.19,5.2,-76.46389773,147.06,358.26,1.0662,1131.892473,272.25,9/30/1994,2.4,-31.61,34638,64.386
6/1/2000,102.6267,172.2,93.0018,19%,4,19.54,53.2,1575,6.27,0.1,1104.9,4753.9,0.4,-29.165,1.2,5.11,-77.82351933,145.31,354.18,1.0498,1161.923498,288.15,12/31/1994,4.7,-36.44,34730,64.663
7/1/2000,102.5935,172.7,92.8373,22%,4,20.74,51.4,1559,6.53,0.8,1102.6,4771.8,0.6,-30.405,1.09,5.13,-79.5407199,145.28,360.73,1.0796,1260.65877,276.75,3/31/1995,1.4,-31.43,34819,65.313
8/1/2000,102.5589,172.7,92.591,22%,4.1,16.84,52.5,1463,6.54,0.1,1103.5,4789.4,0.8,-31.252,0.69,5.11,-82.81740357,143.88,361.89,1.1254,1210.662801,277,6/30/1995,1.2,-32.01,34911,64.739
9/1/2000,102.5094,173.6,92.9827,10%,3.9,20.57,49.9,1541,6.5,-0.2,1100.2,4817.5,0.5,-29.931,0.68,5.17,-87.79013542,152.5,366.36,1.1313,1249.594634,273.65,9/30/1995,3.5,-26.98,35003,64.183
10/1/2000,102.4011,173.9,92.64,-5%,3.9,23.63,49.7,1507,6.52,0.8,1099.7,4853.2,0.5,-33.333,0.7,5.29,-92.67484718,143.63,363.06,1.1778,1196.018216,264.5,12/31/1995,2.7,-23.15,35095,65.042
11/1/2000,102.1504,174.2,92.6604,-5%,3.9,29.65,48.7,1549,6.51,0.4,1098.7,4869.2,0.4,-33.378,0.81,5.25,-95.52474324,142.47,351.72,1.1464,1210.257324,269.1,3/31/1996,3,-27.44,35185,64.25
12/1/2000,101.624,174.6,92.3457,0%,3.9,26.85,48.5,1551,6.51,0.5,1092.4,4880.3,0.2,-32.723,0.99,5.35,-96.01050505,132.22,337.41,1.0611,1294.047145,274.45,6/30/1996,6.8,-29.84,35277,64.255
1/1/2001,101.1024,175.6,91.8908,-3%,4.2,22.02,43.9,1532,6.4,0.2,1088.6,4925,0.4,-33.42,1.11,5.1,-95.9754738,131.19,345.71,1.0677,1312.883121,264.5,9/30/1996,3.6,-36.06,35369,64.447
2/1/2001,100.7213,176,91.2851,-3%,4.2,28.35,42.3,1600,5.98,0.9,1096.7,4975.7,1.1,-35.202,1.12,5.1,-97.34271453,137.93,368.34,1.083,1295.873367,266.7,12/31/1996,4.2,-31.43,35461,64.344
3/1/2001,100.5567,176.1,91.0585,-30%,4.3,28.64,42.1,1625,5.49,0.1,1101.2,5014.1,0.4,-29.301,0.96,5.23,-100.3375496,124.6,373.33,1.1393,1307.674993,257.7,3/31/1997,2.6,-36.08,35550,63.109
4/1/2001,100.5238,176.4,90.7384,-41%,4.4,25.48,43.1,1590,5.31,-0.5,1108.9,5072,0.4,-32.812,0.84,5.45,-103.4757971,116.69,365.71,1.1258,1342.063612,263.15,6/30/1997,6.8,-28.8,35642,62.487
